,Ctrl_concern,Setup_concern,Wkl_concern,Fairness
0,0,0,1,1
1,0,1,1,1
2,0,1,0,1
3,0,1,1,1
4,0,0,1,1
5,0,0,1,1
6,0,1,1,1
7,0,0,0,0
8,0,0,1,1
9,1,0,0,1
10,1,1,1,3
11,1,0,0,1
12,1,1,1,3
13,0,0,0,0
14,0,0,0,0
15,1,1,0,1
16,0,1,1,1
17,0,1,0,1
18,0,1,0,1
19,1,1,0,1
20,1,0,1,1
21,1,1,1,3
22,1,1,1,3
23,0,0,1,1
24,0,0,1,1
25,0,0,1,1
26,0,1,0,1
27,0,1,1,1
28,0,1,1,1
29,0,1,1,1
30,0,1,1,1
31,0,1,1,1
32,0,1,1,1
33,0,1,0,1
34,0,0,0,0
35,1,1,1,3
36,1,1,1,3
37,0,1,1,1
38,0,0,0,0
39,1,1,1,3
40,0,0,1,1
41,0,0,1,1
42,0,1,1,1
43,0,0,1,1
44,0,1,1,1
45,0,0,1,1
46,0,0,0,0
47,1,1,1,3
48,0,1,1,1
49,0,1,1,1
50,1,1,1,3
51,0,1,0,1
52,0,1,1,1
53,0,1,1,1
54,0,1,0,1
55,0,1,1,1
56,0,0,1,1
57,0,0,1,1
58,0,0,1,1
59,0,0,1,1
60,0,1,1,1
61,1,1,1,3
62,0,1,0,1
63,0,0,0,0
64,1,1,1,3
65,1,1,0,1
66,1,1,0,1
67,1,0,0,1
68,0,0,1,1
69,0,1,1,1
70,0,1,1,1
71,0,0,0,0
72,0,0,1,1
73,0,0,1,1
74,0,0,1,1
75,1,1,1,3
76,0,0,1,1
77,0,1,1,1
78,0,0,0,0
79,0,0,0,0
80,0,1,0,1
81,0,0,1,1
82,0,1,1,1
83,0,1,1,1
84,0,1,1,1
85,0,0,1,1
86,1,1,1,3
87,1,0,0,1
88,0,1,1,1
89,0,0,1,1
90,0,0,1,1
91,0,0,1,1
92,0,0,1,1
93,1,1,0,1
94,0,0,1,1
95,0,0,1,1
96,1,1,1,3
97,0,0,1,1
98,0,1,1,1
99,1,1,1,3
100,0,0,1,1
101,0,0,0,0
102,0,0,1,1
103,0,1,1,1
104,0,1,0,1
105,0,0,1,1
106,1,1,1,3
