,Relevance,Representativeness,Repeatability,Portability,Usability,Fairness,Final Score
0,0.9,2.4,1,3,1,1,9.3
1,1.7666666666666668,2.566666666666667,1,3,0,1,9.333333333333334
2,1.2,1.8333333333333333,1,3,1,1,9.033333333333333
3,0.8,2.3333333333333335,1,3,1,1,9.133333333333333
4,1.4,2.466666666666667,1,3,0,1,8.866666666666667
5,1.5333333333333334,2.466666666666667,1,3,0,1,9.0
6,0.8,2.4,1,1,0,1,6.2
7,1.8,2.566666666666667,1,3,1,0,9.366666666666667
8,1.4,1.7333333333333334,1,3,1,1,9.133333333333333
9,1.7666666666666668,1.9333333333333333,0,3,1,1,8.7
10,1.2333333333333334,2.4,1,3,1,3,11.633333333333333
11,0.8,1.7666666666666666,1,1,0,1,5.566666666666666
12,1.5333333333333332,2.433333333333333,1,3,1,3,11.966666666666667
13,0.9,1.8,1,3,0,0,6.7
14,0.9,1.7333333333333334,1,3,1,0,7.633333333333333
15,1.8333333333333333,1.9333333333333333,1,3,1,1,9.766666666666666
16,0.9,2.3333333333333335,1,1,0,1,6.233333333333333
17,1.1,1.3666666666666665,0,3,1,1,7.466666666666667
18,1.8,1.5,1,3,0,1,8.3
19,0.9333333333333333,2.466666666666667,1,1,0,1,6.4
20,1.2,2.3666666666666667,0,3,0,1,7.566666666666666
21,1.3333333333333333,2.4,1,3,1,3,11.733333333333334
22,1.3333333333333335,2.433333333333333,1,1,0,3,8.766666666666666
23,1.3,2.3666666666666667,1,3,0,1,8.666666666666668
24,1.1,1.3333333333333333,1,1,0,1,5.433333333333334
25,1.5333333333333334,2.466666666666667,1,3,0,1,9.0
26,1.4,1.6666666666666667,0,3,1,1,8.066666666666666
27,1.7333333333333332,2.6,1,1,1,1,8.333333333333332
28,1.6,2.466666666666667,1,3,0,1,9.066666666666666
29,1.0333333333333334,2.433333333333333,1,1,0,1,6.466666666666667
30,1.0,2.466666666666667,1,1,0,1,6.466666666666667
31,1.4,2.433333333333333,1,3,3,1,11.833333333333332
32,1.2333333333333332,2.566666666666667,1,3,1,1,9.8
33,1.3666666666666667,1.0666666666666667,1,1,0,1,5.433333333333334
34,0.8,2.3666666666666667,1,3,0,0,7.166666666666667
35,1.6,1.7333333333333334,1,1,1,3,9.333333333333334
36,1.0,2.5,3,1,1,3,11.5
37,0.8,2.4,1,1,1,1,7.2
38,0.8,1.3333333333333333,1,3,1,0,7.133333333333333
39,1.2,2.533333333333333,1,1,1,3,9.733333333333334
40,1.2,2.6333333333333333,1,3,1,1,9.833333333333332
41,1.1666666666666667,2.433333333333333,1,3,1,1,9.6
42,1.8,2.566666666666667,3,1,0,1,9.366666666666667
43,1.7333333333333332,1.2,1,3,0,1,7.933333333333334
44,1.2333333333333334,2.466666666666667,3,3,1,1,11.7
45,1.4,2.433333333333333,3,3,1,1,11.833333333333332
46,1.4,0.3333333333333333,0,3,0,0,4.733333333333333
47,1.6666666666666667,2.6333333333333333,1,1,1,3,10.3
48,0.9333333333333333,2.6,3,3,3,1,13.533333333333333
49,1.0333333333333334,2.5,1,3,1,1,9.533333333333333
50,0.9333333333333333,2.566666666666667,3,1,1,3,11.5
51,1.4,2.433333333333333,1,1,0,1,6.833333333333333
52,1.0,2.4,1,3,0,1,8.4
53,1.1333333333333333,2.6666666666666665,1,3,1,1,9.8
54,1.0666666666666669,0.7666666666666666,1,3,0,1,6.833333333333334
55,1.5666666666666669,2.5,1,3,1,1,10.066666666666666
56,1.6666666666666667,2.533333333333333,1,3,1,1,10.2
57,0.8,1.7666666666666666,1,3,0,1,7.566666666666666
58,1.2333333333333334,2.433333333333333,1,3,1,1,9.666666666666666
59,0.8,2.466666666666667,3,1,1,1,9.266666666666666
60,0.9333333333333333,1.5666666666666667,1,3,0,1,7.5
61,1.3333333333333333,2.6666666666666665,1,1,1,3,10.0
62,0.9,2.466666666666667,1,3,0,1,8.366666666666667
63,1.4,0.3333333333333333,0,3,0,0,4.733333333333333
64,1.1,2.3666666666666667,3,3,1,3,13.466666666666667
65,0.8666666666666666,2.433333333333333,1,1,1,1,7.3
66,0.9333333333333333,1.7333333333333334,1,3,1,1,8.666666666666668
67,1.0,1.7333333333333334,0,3,0,1,6.733333333333333
68,0.8,2.466666666666667,1,1,1,1,7.266666666666667
69,0.8,2.466666666666667,1,3,1,1,9.266666666666666
70,1.2,2.466666666666667,1,1,1,1,7.666666666666667
71,0.9333333333333333,2.433333333333333,1,3,1,0,8.366666666666667
72,1.0,2.466666666666667,1,3,0,1,8.466666666666667
73,0.9,1.0333333333333334,0,1,1,1,4.933333333333334
74,1.1666666666666667,1.9000000000000001,1,3,1,1,9.066666666666666
75,0.8,2.466666666666667,1,1,1,3,9.266666666666666
76,1.2,2.6333333333333333,1,3,0,1,8.833333333333332
77,1.6666666666666667,2.466666666666667,1,3,0,1,9.133333333333333
78,1.4,0.3333333333333333,0,3,0,0,4.733333333333333
79,0.8,0.3333333333333333,0,3,0,0,4.133333333333333
80,1.6666666666666667,2.533333333333333,1,3,0,1,9.2
81,0.8666666666666666,0.7666666666666666,1,3,0,1,6.633333333333333
82,0.8,2.466666666666667,1,3,1,1,9.266666666666666
83,0.8,2.5,1,1,1,1,7.3
84,1.0333333333333334,2.5,3,3,1,1,11.533333333333333
85,0.8,2.433333333333333,3,1,0,1,8.233333333333334
86,1.0,2.4,3,3,1,3,13.4
87,1.5666666666666669,1.1666666666666667,1,1,0,1,5.733333333333333
88,1.8666666666666667,2.4,1,1,1,1,8.266666666666666
89,0.9,2.4,3,1,1,1,9.3
90,0.9,2.433333333333333,1,1,1,1,7.333333333333333
91,1.5,1.8333333333333333,1,3,1,1,9.333333333333332
92,1.3,2.0,1,3,0,1,8.3
93,1.2,1.0333333333333334,1,3,0,1,7.233333333333333
94,1.2333333333333334,1.8666666666666665,1,3,0,1,8.1
95,1.0,1.8666666666666665,1,3,1,1,8.866666666666667
96,1.4,2.4,3,3,1,3,13.8
97,1.0,1.6666666666666667,1,3,0,1,7.666666666666667
98,0.9,2.3666666666666667,1,1,0,1,6.266666666666667
99,1.5666666666666669,2.466666666666667,1,3,1,3,12.033333333333333
100,0.8,1.7666666666666666,1,1,0,1,5.566666666666666
101,0.8,1.7666666666666666,0,1,0,0,3.5666666666666664
102,0.9,1.7333333333333334,1,1,1,1,6.633333333333333
103,0.9333333333333333,2.533333333333333,1,3,1,1,9.466666666666667
104,0.8666666666666666,1.7,0,3,0,1,6.566666666666666
105,0.8,2.433333333333333,1,3,0,1,8.233333333333334
106,1.0333333333333334,2.433333333333333,1,3,3,3,13.466666666666667
