,App_Dep,Mod_Dep,Hw_Dep,Prot_Dep,Portability
0,0,0,0,1,3
1,0,0,0,1,3
2,0,0,0,1,3
3,0,0,0,1,3
4,0,0,0,1,3
5,0,0,0,1,3
6,1,0,0,1,1
7,0,0,0,1,3
8,0,0,0,1,3
9,0,0,0,1,3
10,0,0,0,1,3
11,1,0,0,1,1
12,0,0,0,0,3
13,0,0,0,0,3
14,0,0,0,1,3
15,0,0,0,1,3
16,0,0,1,1,1
17,1,0,0,0,3
18,0,0,0,0,3
19,1,1,0,1,1
20,0,0,0,1,3
21,0,0,0,1,3
22,0,0,1,1,1
23,0,0,0,1,3
24,0,1,0,1,1
25,0,0,0,1,3
26,0,0,0,1,3
27,1,0,0,1,1
28,0,0,0,1,3
29,1,0,0,1,1
30,1,0,0,1,1
31,0,0,0,1,3
32,0,0,0,1,3
33,1,0,0,1,1
34,1,0,0,0,3
35,1,0,0,1,1
36,1,1,0,1,1
37,1,0,0,1,1
38,0,0,0,0,3
39,0,1,0,1,1
40,0,0,0,1,3
41,0,0,0,1,3
42,0,1,0,1,1
43,0,0,0,1,3
44,0,0,0,1,3
45,0,0,0,1,3
46,0,0,0,0,3
47,0,1,0,1,1
48,0,0,0,1,3
49,0,0,0,1,3
50,0,1,0,1,1
51,0,1,0,1,1
52,0,0,0,1,3
53,0,0,0,1,3
54,0,0,0,1,3
55,0,0,0,1,3
56,0,0,0,1,3
57,0,0,0,1,3
58,0,0,0,0,3
59,1,1,0,0,1
60,0,0,0,1,3
61,0,0,1,1,1
62,0,0,0,1,3
63,0,0,0,0,3
64,0,0,0,1,3
65,0,1,0,1,1
66,0,0,0,1,3
67,1,0,0,0,3
68,1,0,0,1,1
69,0,0,0,0,3
70,1,0,0,1,1
71,0,0,0,1,3
72,1,0,0,0,3
73,1,0,0,1,1
74,0,0,0,1,3
75,0,1,0,1,1
76,0,0,0,1,3
77,0,0,0,0,3
78,0,0,0,0,3
79,0,0,0,0,3
80,0,0,0,1,3
81,0,0,0,1,3
82,0,0,0,1,3
83,1,0,0,1,1
84,0,0,0,1,3
85,1,0,0,1,1
86,0,0,0,1,3
87,1,0,0,1,1
88,1,0,0,1,1
89,1,0,0,1,1
90,1,0,0,1,1
91,0,0,0,1,3
92,0,0,0,1,3
93,1,0,0,0,3
94,0,0,0,0,3
95,0,0,0,1,3
96,0,0,1,0,3
97,0,0,0,1,3
98,1,0,0,1,1
99,0,0,0,0,3
100,1,0,0,1,1
101,1,0,0,1,1
102,1,0,0,1,1
103,0,0,0,1,3
104,0,0,0,1,3
105,0,0,0,1,3
106,0,0,0,0,3
